Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
France,FRA,Tree Cover Loss (hectares),AG.LND.FRLS.HA,69201,81304,77746,112886,..,..
France,FRA,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,23.5690486825,22.9992818436,22.9992818436,..,..,..
Germany,DEU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..,..
Germany,DEU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,4.7599854163992,..,..,..,..
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.53704268780674,7.9271876239049,7.2552210281684,..,..,..
Germany,DEU,Control of Corruption: Estimate,CC.EST,1.89832532405853,1.86536622047424,1.82571387290955,1.78317177295685,1.81837582588196,..
Germany,DEU,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,2.424605632,..,..,..,..,..
Germany,DEU,Government Effectiveness: Estimate,GE.EST,1.52358090877533,1.49546587467194,1.31406188011169,1.29082775115967,1.2898074388504,..
Germany,DEU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.63820171356201,9.71987533569336,9.19867610931396,8.84707832336426,..,..
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.8926829268293,81.2926829268293,81.0414634146342,..,..,..
Germany,DEU,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,0.598213979213175,0.583080283141188,0.564178799546243,..,..,..
Germany,DEU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.8,3.7,3.6,3.6,..,..
Germany,DEU,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,0.420251175967437,0.421621828693506,0.406622828661811,..,..,..
Germany,DEU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.92460308,11.80580716,..,..,..,..
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.577707588672638,0.548454642295837,0.644988059997559,0.725666701793671,0.614759147167206,..
Germany,DEU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30.7475317348378,30.8885754583921,31.1706629055007,34.9184782608696,34.9184782608696,..
Germany,DEU,Regulatory Quality: Estimate,RQ.EST,1.75632679462433,1.71493887901306,1.57793474197388,1.62516117095947,1.52229499816895,..
Germany,DEU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.04,17.07,18.6,..,..,..
Germany,DEU,Rule of Law: Estimate,RL.EST,1.59134912490845,1.58125305175781,1.51979923248291,1.57233679294586,1.53315436840057,..
Germany,DEU,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.960990011692047,0.965369999408722,0.970099985599518,..,..,..
Germany,DEU,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6,6,..,..,..,..
Germany,DEU,Voice and Accountability: Estimate,VA.EST,1.44279527664185,1.35365509986877,1.37361109256744,1.42001807689667,1.4095424413681,..
Germany,DEU,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,38.7874034693079,38.4691053780516,38.8328754291051,38.541715356119,38.6587566328831,..
